source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 17:00:00,Buồn của tôi #Bu,"1,5K","1,1K",315,5,1,137,1,331 bình luậ,2390281651209403,/story.php?story_fbid=2390281651209403&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 16:30:00,Gia đình xin thương tiếc báo tin #Punch,19K,"8,6K","9,6K",72,22,648,6,2.406 bình luậ,2390802234490678,/story.php?story_fbid=2390802234490678&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 15:02:27,Điểm danh những anh em đang bị trừ điểm do lỗi game nào. 😂 #Bu,"7,5K","5,3K","1,5K",22,31,536,19,1.772 bình luậ,2390766041160964,/story.php?story_fbid=2390766041160964&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 14:00:01,Chắc tính chia ra clear map cho nhanh :v #Bu,"3,2K","1,8K","1,2K",13,4,137,2,459 bình luậ,2390725981164970,/story.php?story_fbid=2390725981164970&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 12:00:01,Cuối cùng cơ hội của mình đã tới #Bu,"3,5K",2K,"1,3K",18,3,60,,507 bình luậ,2390280164542885,/story.php?story_fbid=2390280164542885&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 11:00:00,Chuẩn :)) #Bu,"2,7K","1,6K",902,12,5,89,1,388 bình luậ,2390279464542955,/story.php?story_fbid=2390279464542955&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-15 10:00:00,"Tạm biệt Season 7, chào đón Season 8! #Bu","4,8K","3,3K",975,26,11,426,1,596 bình luậ,2390278741209694,/story.php?story_fbid=2390278741209694&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 21:00:01,Nhớ nhé 👌 #Bu,"5,8K","4,5K",1K,85,10,137,3,983 bình luậ,2389934667910768,/story.php?story_fbid=2389934667910768&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 19:33:46,Bán cho con một cục tạ dễ thương để chạy bo cùng,6K,"4,6K","1,1K",164,9,56,,813 bình luậ,2390148951222673,/story.php?story_fbid=2390148951222673&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 18:30:00,Nhìn là biết đẹp trai rồi ToT #Punch,"5,7K","4,2K",1K,443,19,38,3,466 bình luậ,2389352987968936,/story.php?story_fbid=2389352987968936&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 18:00:00,Tag vào xem nào #Bu,"2,7K",2K,661,8,2,52,2,852 bình luậ,2389933811244187,/story.php?story_fbid=2389933811244187&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 17:00:00,Best team squad :)) #BuĐội hình tuyệt vời nhất :)) #Bu,"1,9K","1,2K",642,14,6,9,,279 bình luậ,2389931824577719,/story.php?story_fbid=2389931824577719&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 15:00:01,Chắc nhanh out game ra làm trận mới cho rồi  #Bu,"3,5K","2,3K",962,6,3,215,1,819 bình luậ,2389932331244335,/story.php?story_fbid=2389932331244335&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 14:00:00,Nghe nói set đồ này đang hot? Kiểu này chắc vừa túm váy vừa chay bo :)) #Bu,19K,12K,"6,3K",367,815,134,1,4.020 bình luậ,2389949507909284,/story.php?story_fbid=2389949507909284&id=1923466774557562
"Cộng Đồng Battlegrounds Việt Nam,Đâu Phải PUBG",Đâu Phải PUBG,2019-07-13 09:16:50,Kẹt xe lắmnó lại đúng vãi l*n =)) #CK,"1,1K",534,627,6,3,28,,167 bình luậ,2389917974579104,/story.php?story_fbid=2389917974579104&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 11:00:01,Cách giúp bạn không còn cảm thấy cô đơn  #Bu,"3,7K","2,3K","1,1K",26,8,103,3,512 bình luậ,2389559774614924,/story.php?story_fbid=2389559774614924&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 10:00:00,Hợp lý :)) #Bu,"1,9K","1,1K",713,4,9,44,,339 bình luậ,2389559304614971,/story.php?story_fbid=2389559304614971&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 07:08:09,Cả nhà có điểm chưaaa?  #Bu,634,476,142,2,,14,,133 bình luậ,2389769714593930,/story.php?story_fbid=2389769714593930&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-14 01:30:00,Nhảy đâu đây anh em =))) #Punch,11K,7K,"4,3K",110,189,55,6,735 bình luậ,2389332734637628,/story.php?story_fbid=2389332734637628&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 21:00:00,Quan trọng giờ tìm ra được em để giữ cái đã :v #Bu,"2,2K","1,7K",510,23,8,37,,317 bình luậ,2388726014698300,/story.php?story_fbid=2388726014698300&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 20:00:00,Tấu hài là đủ :)) #Bu,"5,2K","3,8K","1,2K",51,5,27,,600 bình luậ,2388725108031724,/story.php?story_fbid=2388725108031724&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 19:30:00,Ám ảnh #Punch by DuckBatman,1K,535,464,5,2,41,,176 bình luậ,2389192367984998,/story.php?story_fbid=2389192367984998&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 18:00:01,Phải vậy không? #Bu,"3,6K","2,6K",812,64,19,44,4,780 bình luậ,2388724121365156,/story.php?story_fbid=2388724121365156&id=1923466774557562
Cộng Đồng Battlegrounds Việt Nam,,2019-07-13 17:00:00,"Ad là LMHT, còn anh em? #Bu","1,9K","1,5K",340,13,8,7,,919 bình luậ,2389304331307135,/story.php?story_fbid=2389304331307135&id=1923466774557562
