,reactions,comments,post_id
112,51,3 bình luậ,340081186658642
561,51,2 bình luậ,335441270455967
14,51,21 bình luậ,2256050507814077
627,51,3 bình luậ,328645244468903
394,51,21 bình luậ,2256050507814077
492,51,3 bình luậ,340081186658642
301,51,21 bình luậ,2256050507814077
247,51,3 bình luậ,328645244468903
671,50,2 bình luậ,330343067632454
131,50,Bình luậ,338221460177948
200,50,9 bình luậ,333932940606800
580,50,9 bình luậ,333932940606800
511,50,Bình luậ,338221460177948
291,50,2 bình luậ,330343067632454
41,49,2 bình luậ,347518329248261
116,49,5 bình luậ,340135796653181
496,49,5 bình luậ,340135796653181
421,49,2 bình luậ,347518329248261
42,48,5 bình luậ,347204949279599
349,48,1 bình luậ,328636927803068
422,48,5 bình luậ,347204949279599
124,47,9 bình luậ,339076376759123
504,47,9 bình luậ,339076376759123
357,46,2 bình luậ,324647158202045
157,46,3 bình luậ,337518776914883
537,46,3 bình luậ,337518776914883
155,46,2 bình luậ,337702243563203
535,46,2 bình luậ,337702243563203
308,46,2 bình luậ,344531916213569
435,46,2 bình luậ,344531916213569
56,46,2 bình luậ,344531916213569
350,45,Bình luậ,327754831224611
639,45,4 bình luậ,331911464142281
259,45,4 bình luậ,331911464142281
329,44,4 bình luậ,336804633652964
237,44,2 bình luậ,328645907802170
546,44,4 bình luậ,336804633652964
66,44,4 bình luậ,341792063154221
540,44,4 bình luậ,337434130256681
446,44,4 bình luậ,341792063154221
489,44,1 bình luậ,341030556563705
166,44,4 bình luậ,336804633652964
160,44,4 bình luậ,337434130256681
617,44,2 bình luậ,328645907802170
109,44,1 bình luậ,341030556563705
557,43,6 bình luậ,335565830443511
177,43,6 bình luậ,335565830443511
507,42,1 bình luậ,338244360175658
127,42,1 bình luậ,338244360175658
589,41,3 bình luậ,333865630613531
335,41,3 bình luậ,333865630613531
209,41,3 bình luậ,333865630613531
135,41,9 bình luậ,338157563517671
515,41,9 bình luậ,338157563517671
225,40,6 bình luậ,333428357323925
173,40,6 bình luậ,336013337065427
553,40,6 bình luậ,336013337065427
605,40,6 bình luậ,333428357323925
38,39,5 bình luậ,348484942484933
307,39,5 bình luậ,348484942484933
500,39,2 bình luậ,339600490040045
521,39,1 bình luậ,338122003521227
120,39,2 bình luậ,339600490040045
618,39,4 bình luậ,332920704041357
141,39,1 bình luậ,338122003521227
238,39,4 bình luậ,332920704041357
419,39,5 bình luậ,348484942484933
